2014 rank,City,State,State Code,2014 Population estimate,2015 median sales price
101,Birmingham,Alabama,AL,212247,162.9
125,Huntsville,Alabama,AL,188226,157.7
122,Mobile,Alabama,AL,194675,122.5
114,Montgomery,Alabama,AL,200481,129
64,Anchorage[19],Alaska,AK,301010,
78,Chandler,Arizona,AZ,254276,
86,Gilbert[20],Arizona,AZ,239277,
88,Glendale,Arizona,AZ,237517,
38,Mesa,Arizona,AZ,464704,
148,Peoria,Arizona,AZ,166934,
6,Phoenix,Arizona,AZ,1537058,206.1
95,Scottsdale,Arizona,AZ,230512,
215,Surprise,Arizona,AZ,126275,
142,Tempe,Arizona,AZ,172816,
33,Tucson,Arizona,AZ,527972,178.1
119,Little Rock,Arkansas,AR,197706,131.8
56,Anaheim,California,CA,346997,685.7
261,Antioch,California,CA,108930,
52,Bakersfield,California,CA,368759,
227,Berkeley,California,CA,118853,
276,Burbank,California,CA,105368,
245,Carlsbad,California,CA,112299,
75,Chula Vista,California,CA,260988,
291,Clovis,California,CA,102189,
212,Concord,California,CA,127522,
153,Corona,California,CA,161486,
243,Costa Mesa,California,CA,112784,
274,Daly City,California,CA,106094,
240,Downey,California,CA,114172,
285,El Cajon,California,CA,103091,
234,El Monte,California,CA,116631,
151,Elk Grove,California,CA,163553,
167,Escondido,California,CA,150243,
250,Fairfield,California,CA,111125,
108,Fontana,California,CA,204950,
97,Fremont,California,CA,228758,
34,Fresno,California,CA,515986,
186,Fullerton,California,CA,139677,
136,Garden Grove,California,CA,175078,
116,Glendale,California,CA,200167,
161,Hayward,California,CA,154612,
112,Huntington Beach,California,CA,200809,
248,Inglewood,California,CA,111905,
82,Irvine,California,CA,248531,
154,Lancaster,California,CA,161043,
36,Long Beach,California,CA,473577,
2,Los Angeles,California,CA,3928864,434.7
104,Modesto,California,CA,209286,
110,Moreno Valley,California,CA,202976,
268,Murrieta,California,CA,108368,
270,Norwalk,California,CA,107096,
45,Oakland,California,CA,413775,
137,Oceanside,California,CA,174558,
146,Ontario,California,CA,169089,
185,Orange,California,CA,139812,
106,Oxnard,California,CA,205437,
156,Palmdale,California,CA,158279,
184,Pasadena,California,CA,140881,
165,Pomona,California,CA,153350,
138,Rancho Cucamonga,California,CA,174305,
288,Rialto,California,CA,102741,
265,Richmond,California,CA,108565,
59,Riverside,California,CA,319504,281
205,Roseville,California,CA,128615,
